category,direction,name,website
Seguridad Privada - Compañías;Seguridad Privada;Seguridad Electrónica - Equipos;Seguridad Electrónica,Dirección: Piedrahita 537 entre Lorenzo de Garaycoa y Rumichaca,GUAYPRO CIA. LTDA.,http://www.guaypro.com
Empresas Eléctricas,Dirección: Loja y Malecón,Corporación Nacional de Electricidad CNEL EP Unidad de Negocio El Oro,http://www.cnelep.gob.ec
Fumigadoras Empresas,Dirección: Guayacanes y la 5ta Cond. Lomas 81 Dept. 1,Fumisem Cia. Ltda.,
Limpieza - Servicios;Fumigadoras Empresas;Fumigadoras,Dirección: Circunvalación Sur 1116 y Laureles,Óptima Fumigaciones,http://www.optimafumigaciones.com
Artículos Promocionales,Dirección: Av de Los Shyris y Av Gaspar de Villarroel (esq) Centro Comercial La Galería Local 8,Milenium Merchandise,http://www.mileniumpromocionales.com.ec
Fumigadoras Empresas,Dirección: Av. Francisco de Orellana - Orquideas Mz 1068.,FUMIGSA -FUMIGACIONES URBANAS DEL GUAYAS S.A.,
Fumigaciones Empresas,Dirección: Cdla Guayacanes,Solconplag,http://www.solconplag.com
Seguros - Agentes y Compañías,"Dirección: Urdesa, Av El Rotarismo N312 E/ La 1era y La 5ta",Zurich Seguros Ecuador S.A.,http://www.zurichseguros.com.ec
Uniformes de Trabajo;Uniformes Empresariales;Bordados,"Dirección: Km 8 1/2  Vía a Daule entrando por la Fábrica de Pepsi, Coop. Juan Montalvo",Gonbatex,http://www.gonbatex.com
Publicidad;Editores de Guías,Dirección: Av 9 de Octubre 1911 E/ Esmeraldas y Los Ríos Edif Finansur Piso 14,Edina S.A.,http://www.edina.com.ec
Seguridad Privada - Compañías;Seguridad Privada,Dirección: Edificio Axun Vélez 131 y Chile 4to Piso | Oficina #1,SATFORCE CIA.LTDA.,http://www.satforce.com.ec
Agroquímicos,Dirección: Cdla Atarazana Av Carlos Luis y Av C L Plaza Dañin Blq 3 Lc 2,Incoagro Cía. Ltda.,http://www.incoagro.com
Transporte de Personal,Dirección: Garzota 2 Etp Mz 145  Viilla 5 Pta. Baja,Corpboy S.A.,http://www.corpboy.com
Seguridad Privada - Compañías,Dirección: Cdla La Garzota 1 Mz 12 Sl 5,Oceansecurity Cia. Ltda.,http://www.oceansecurity.net
Laboratorios Clínicos,"Dirección: Cdla. Unión y Progreso, Calle Alejandro Andrade Coello, Mz. A  SL 11 y Av. Fco. de Orellana (Diagonal al C.C. San Marino)", INTERLAB S.A.,http://www.interlab.com.ec
Seguridad Privada,Dirección: Cdla Garzota 3 Mz 80 Sl 2,1700 Custodia - Nova,http://www.nova.ec
Call Center,Dirección: Av 6 de Diciembre N33-55 y Av Eloy Alfaro,Abiatar S.A.,http://www.abiatar.com.ec
Actuarios,Dirección: Calle Dr. Emilio Romero Menéndez y Av Benjamín Carrión Edif. City Office Of. 725.,Actuaria Cía. Ltda.,http://www.actuaria.com.ec
"Cirugía Plástica, Reconstructiva y Estética",Dirección: Av. Machala 2405 y Cuenca Esquina,Alfredo Galindo Mosquera Dr. EsculturArte Clínica Estética,
Agua Potable,Dirección: Av Samborodón este #10400 junto al cuerpo de bomberos,Amagua-CEM Aguas de Samborondón,http://www.amagua.com
Compresores,Dirección: Av Isidro Ayora Bloque 7 Bastión Popular,Atlas Copco Emcovele S.A.,http://www.atlascopco.com.ec
Computadoras;Computación Equipos de Alquiler;Audiovisuales,Dirección: Guayaquil,Audio Videosystem S.A.,http://www.audiovideosistemas.com
